destination_country,userName,major,specialization,program,department,univName,termAndYear,cgpa,cgpaScale,topperCgpa,ugCollege,toeflScore,toeflEssay,greV,greQ,greA,gmatQ,gmatV,gmatA,researchExp,industryExp,internExp,journalPubs,confPubs,admit
Australia,Binita Bista,Electrical Engineering,VLSI / Digital / Analog design testing,MS,Electrical Engineering,Monash University,Fall-2011,7.48,10,10,Kathmandu University,,,,,,45.0,,,0,55,0,0,0,1
Australia,Aayush Kushwaha,MIS,Software Engineering,MS,Electronics and Communications Engineering,La Trobe University,Fall-2013,8.22,10,10,Rajarshi Janak University,,,,,,48.0,42.0,5.0,0,44,5,0,0,0
Australia,Saroj Maharjan,Industrial Engineering,Networks,MS,Not Specified,Curtin University,Spring-2013,8.55,10,10,Mid-Western University,83.0,27.0,,,,48.0,42.0,4.0,0,24,10,0,0,0
Australia,Anish Sharma,Computer Science,ES/Communication,MS,Computer Science and Engineering,University of Adelaide,Fall-2012,9.27,10,10,Purbanchal University,91.0,27.0,,,,,38.0,5.0,0,20,11,0,0,1
Australia,Bina Baral,Industrial Engg/Robotics,programming languages/AI,MS,Computer Science,University of Adelaide,Fall-2012,9.59,10,10,Nepal Open University,113.0,28.0,,,,45.0,38.0,4.5,0,48,1,0,2,0
Australia,Nisha Subedi,Computer Science,Design and Manufacturing,MS,Electronics and Telecommunication,University of Adelaide,Fall-2012,7.08,10,10,Kathmandu University,88.0,18.0,,,,,,4.0,0,50,1,0,0,1
Australia,Umesh Mainali,Computer Science,1- Software Engineering; 2 - Programming Languages; 3 - Database; PRIORITY ORDER,MS,ECE,Bond University,Fall-2015,7.28,10,10,Rajarshi Janak University,91.0,25.0,,,,40.0,35.0,5.0,0,38,7,1,0,0
Australia,Bibek Lal,Computer Science,Wireless communications,MS,Information Technology,University of Canberra,Fall-2013,9.59,10,10,Tribhuvan University,77.0,21.0,,,,48.0,35.0,4.0,3,38,5,0,0,1
Australia,Bina Chand,Computer Science,Computer Networks,MS,Information Science,University of New South Wales,Spring-2014,9.49,10,10,Mid-Western University,,,,,,40.0,35.0,4.0,1,17,6,0,0,1
Australia,Dev Sarki,Computer Engineering,Energy,MS,Electronics,James Cook University,Fall-2013,5.88,10,10,Mumbai University,96.0,21.0,163.0,157.0,2.9,,42.0,5.0,0,17,7,0,0,0
