destination_country,userName,major,specialization,program,department,univName,termAndYear,cgpa,cgpaScale,topperCgpa,ugCollege,toeflScore,toeflEssay,greV,greQ,greA,gmatQ,gmatV,gmatA,researchExp,industryExp,internExp,journalPubs,confPubs,admit
Germany,Anita Belbase,Computer Science,VLSI Analog n mixed signal Circuit Design,MS,Mechanical,RWTH Aachen University,Fall-2012,1.6400000000000006,10,10,Purbanchal University,91.0,28.0,,,,40.0,38.0,4.5,1,43,1,0,0,0
Germany,Dinesh Karki,Computer Science,General,PhD,Electronics and communication,University of Mannheim,Fall-2012,1.7799999999999994,10,10,Nepal Open University,,,,,,,35.0,4.0,1,1,8,0,0,1
Germany,Sushila Basnet,Mechanical Engineering,Manufacturing,MS,CSE,University of Tübingen,Fall-2014,1.5199999999999996,10,10,Agriculture and Forestry University,,,,,,40.0,,4.5,0,53,4,0,0,1
Germany,Tika KC,Computer Science,Embedded Systems (computer engineering),MS,EEE,RWTH Aachen University,Fall-2012,1.9800000000000004,10,10,Mid-Western University,,,,,,48.0,42.0,4.5,0,13,4,0,0,0
Germany,Kabita Aryal,Computer Science,Electronic systems Engineering,MS,Telecommunication,University of Göttingen,Fall-2012,1.0199999999999996,10,10,Manmohan Technical University,,,,,,,38.0,4.5,0,30,5,0,1,1
Germany,Karuna Dhakal,Computer Engineering,Communication and Signal Processing,MS,EXTC,Free University of Berlin,Fall-2006,1.4000000000000004,10,10,Mid-Western University,,,,,,45.0,38.0,4.5,0,15,7,1,3,1
Germany,Shankar Upreti,MIS,Spintronics Dilute Magnetic Semiconductors STM,MS,Information Technology,University of Stuttgart,Fall-2013,1.9399999999999995,10,10,Gandaki University,,,,,,,,4.0,0,11,4,0,0,0
Germany,Ranjan Ghimire,MIS,Embedded systems,MS,B.Tech,University of Bonn,Spring-2014,1.0199999999999996,10,10,Pokhara University,,,,,,48.0,42.0,,2,20,2,0,0,0
Germany,Jyoti Aryal,Computer Science,(Scalable) Systems,MS,EIC,Humboldt University of Berlin,Fall-2013,1.2599999999999998,10,10,Manmohan Technical University,86.0,24.0,,,,,35.0,4.0,2,37,6,0,0,1
Germany,Anish Baniya,Industrial Engineering,Graphics N Visualization,MS,Chemical Engineering,University of Tübingen,Spring-2014,1.6999999999999993,10,10,Kathmandu University,,,,,,40.0,42.0,4.0,0,24,8,1,0,0
Germany,Ravi Dhakal,Computer Science,Networks and Distributed Systems(Grid/Cloud),MS,Computer Science,RWTH Aachen University,Fall-2012,1.4600000000000009,10,10,Tribhuvan University,,,145.0,167.0,3.1,40.0,42.0,4.0,0,5,1,0,0,1
Germany,Ashish Luintel,Digital Media,Computer Networks / Embedded Systems,MS,CS,University of Göttingen,Fall-2011,1.0199999999999996,10,10,Pokhara University,,,,,,48.0,,,0,6,5,0,0,1
Germany,Madan Pandey,Computer Engineering,MIS or CS,MS,ECE,University of Göttingen,Fall-2011,1.5199999999999996,10,10,Osmania University,72.0,25.0,,,,40.0,35.0,4.5,0,53,8,0,0,1
Germany,Prerana Sah,Computer Engineering,Robotics,MS,CSE,University of Cologne,Fall-2013,1.2400000000000002,10,10,Mid-Western University,,,,,,,35.0,,0,8,0,1,0,0
Germany,Ganga Agarwal,Computer Science,Networks and Security,MS,Information Technology,Free University of Berlin,Fall-2015,2.0,10,10,Nepal Open University,,,,,,40.0,35.0,,1,38,2,0,0,0
