destination_country,userName,major,specialization,program,department,univName,termAndYear,cgpa,cgpaScale,topperCgpa,ugCollege,toeflScore,toeflEssay,greV,greQ,greA,gmatQ,gmatV,gmatA,researchExp,industryExp,internExp,journalPubs,confPubs,admit
India,Ramesh Gyawali,Computer Science,Systems/Networking,MS,Computer Science and Engineering,Banaras Hindu University,Fall-2012,5.77,10,10,Gandaki University,,,,,,48.0,38.0,4.0,1,16,5,0,0,0
India,Gita Tamang,Computer Science,AI Wireless Sensor Networks,MS,Computer Science,University of Hyderabad,Fall-2014,7.55,10,10,Nepal Open University,73.0,21.0,,,,45.0,42.0,,0,51,1,0,0,0
India,Prashant Maskey,Computer Science,AI Wireless Sensor Networks,MS,computer science and engineering,Amity University,Fall-2015,7.38,10,10,Purbanchal University,,,,,,,42.0,4.0,0,16,1,0,1,0
India,Rajendra Dhakal,Computer Engineering,Contruction mgmt /Structures,MS,Not Specified,IIT Kharagpur,Fall-2015,9.98,10,10,Delhi University,,,,,,40.0,38.0,,0,23,7,1,0,1
India,Karishma Kattel,Technology Management,Embedded Systems,MS,Electonics and Communication Engineering,Banaras Hindu University,Fall-2012,6.68,10,10,Kathmandu University,,,,,,,38.0,,0,44,3,0,1,0
India,Namrata Gurung,Computer Science,general,MS,Information Technology,IISc Bangalore,Spring-2016,9.94,10,10,Bangalore University,87.0,18.0,,,,45.0,38.0,4.5,1,54,6,0,0,0
India,Shankar Siddiqui,Electrical Engineering,General,MS,Manufacturing,SRM University,Fall-2012,9.66,10,10,Gandaki University,,,153.0,162.0,4.2,40.0,,4.0,0,22,2,0,0,1
India,Bishnu Bista,Computer Science,Manufacturing,MS,Computer Science,Osmania University,Fall-2014,8.84,10,10,Far-Western University,,,,,,48.0,38.0,5.0,0,46,9,0,0,1
India,Kabita Miandad,Computer Science,VLSI Microelectronics,MS,Electronics & Instrumentation,IIT Madras,Spring-2015,5.84,10,10,Tribhuvan University,,,,,,45.0,35.0,,0,34,4,1,1,0
India,Shashank Hussain,MIS,Data Analytics,MS,Computer,University of Hyderabad,Fall-2008,5.75,10,10,Kathmandu University,113.0,21.0,,,,48.0,38.0,,0,46,10,0,0,1
India,Shashank Kayastha,Computer Science,Optical Communication,MS,Mechanical Engineering,Anna University,Fall-2015,9.21,10,10,Mid-Western University,,,,,,40.0,,4.5,0,11,10,0,0,0
India,Zeenat Sarki,Electrical Engineering,Digital VLSI Comp Arch,MS,Telecommunication Engg,IIT Bombay,Fall-2014,9.04,10,10,Mumbai University,,,148.0,154.0,3.3,40.0,35.0,5.0,0,8,10,0,0,0
India,Aarav Kattel,Electronics and Communication,Vehicular Electronics,MS,Electronics and Communication,IIT Madras,Fall-2012,9.49,10,10,Nepal Open University,,,,,,,35.0,5.0,1,34,0,1,0,1
