destination_country,userName,major,specialization,program,department,univName,termAndYear,cgpa,cgpaScale,topperCgpa,ugCollege,toeflScore,toeflEssay,greV,greQ,greA,gmatQ,gmatV,gmatA,researchExp,industryExp,internExp,journalPubs,confPubs,admit
UK,Sunil Ojha,Electrical Engineering,Power/Energy,MS,Computer Science & Engg,King's College London,Spring-2014,9.04,10,10,Rajarshi Janak University,88.0,23.0,,,,48.0,,,1,3,2,1,0,1
UK,Shruti Sigdel,Computer Engineering,Big Data,MS,Computer Science,University of Oxford,Fall-2013,9.25,10,10,Pokhara University,96.0,25.0,145.0,151.0,5.0,,,4.5,0,31,1,0,0,0
UK,Ramesh Yogi,Civil Engineering,Theory/Information Security,MS,Electronics engineering,University College London,Fall-2014,9.8,10,10,Far-Western University,83.0,24.0,,,,,,4.0,0,4,6,0,0,0
UK,Meena Qureshi,Electronics and Communication,VLSI,MS,Computer Engineering,London School of Economics,Fall-2014,5.97,10,10,Far-Western University,72.0,20.0,,,,45.0,38.0,,1,47,9,0,0,1
UK,Tika Teli,Computer Science,Computer Networks,MS,Electrical Engineering,University of Bath,Fall-2013,5.95,10,10,Nepal Open University,89.0,20.0,,,,45.0,38.0,,0,55,4,1,0,1
UK,Bishnu Regmi,Mechanical Engineering,Networks & Computing,MS,Mechanical,King's College London,Fall-2013,8.24,10,10,Lumbini Buddhist University,,,,,,40.0,42.0,5.0,0,58,5,0,1,1
UK,Binita Chaudhary,Electronics and Communication,IT,MS,Computer Science,University of Oxford,Spring-2009,5.93,10,10,Pokhara University,95.0,21.0,,,,40.0,38.0,4.5,1,24,5,0,0,1
UK,Alok Bhattarai,Materials Science & Engineering,Power Systems,MS,Electrical & Electronics Engineering,University of Southampton,Fall-2013,8.74,10,10,Far-Western University,107.0,24.0,,,,48.0,,4.5,1,27,4,2,0,0
UK,Yubaraj Prajapati,Computer Science,Design,MS,Electonics and Telecommunication,University of Nottingham,Fall-2013,6.19,10,10,Pokhara University,94.0,28.0,,,,45.0,42.0,5.0,0,39,5,0,0,0
UK,Rekha Pandit,Computer Science,Software Track,MS,EXTC,University of Nottingham,Fall-2013,8.17,10,10,Mid-Western University,99.0,18.0,,,,,42.0,4.0,1,34,8,0,1,0
UK,Shubham Kurmi,Electronics and Communication,Automotive Engineering,MS,IS,University College London,Fall-2013,6.1,10,10,Bangalore University,79.0,26.0,,,,40.0,42.0,,0,41,2,0,0,0
UK,Abhishek Kushwaha,Computer Science,Data Mining,MS,Computer Engineering,London School of Economics,Fall-2011,8.75,10,10,Purbanchal University,102.0,21.0,,,,48.0,38.0,4.5,0,14,6,0,1,1
UK,Sarita Lohani,Electrical and Electronics,Networked Systems/Mobile Computing,MS/PhD,Aerospace,University College London,Fall-2011,9.47,10,10,Tribhuvan University,,,,,,48.0,42.0,4.0,1,0,8,1,1,1
UK,Sarita Sapkota,MIS,DBMS/Data analytics,MS,MCA,University of Southampton,Fall-2014,9.97,10,10,Purbanchal University,108.0,25.0,,,,48.0,42.0,,1,33,7,0,1,0
UK,Rajesh Dahal,MIS,AI,MS,CSE,University of Edinburgh,Fall-2014,8.28,10,10,Pokhara University,,,,,,45.0,42.0,5.0,0,45,8,0,1,1
UK,Dev Dahal,Chemical Engineering,Computer Architecture,MS,Computer Science,University College London,Fall-2015,6.84,10,10,Bangalore University,,,,,,48.0,42.0,,0,30,4,0,0,0
UK,Sushila Mukherjee,Mechanical Engineering,Networking,MS,IT,University of Glasgow,Fall-2012,9.88,10,10,Nepal Open University,70.0,24.0,,,,40.0,,4.0,0,27,2,0,0,0
UK,Sabina Budhathoki,Chemical Engineering,Data Mining,MS,Computer Science,University of Glasgow,Fall-2013,7.08,10,10,Gandaki University,107.0,21.0,,,,48.0,38.0,4.5,0,59,3,1,0,0
UK,Abhishek Mijar,Electrical Engineering,digital vlsi/ph,MS,MECHANICAL,University of Exeter,Fall-2014,6.97,10,10,Tribhuvan University,,,,,,,38.0,4.5,0,48,11,0,0,1
UK,Narayan Kayastha,MIS/MS CS,Embedded Systems,MS,Electronics and Communication,University of Warwick,Spring-2014,9.64,10,10,Lumbini Buddhist University,110.0,28.0,,,,40.0,38.0,4.5,0,38,3,0,0,1
UK,Chandan Chhetri,Computer Science,Computer Networks,MS,CS,University of Manchester,Fall-2013,9.71,10,10,Mid-Western University,103.0,23.0,,,,40.0,,4.0,0,47,7,2,0,0
UK,Rajan Qureshi,Telecommunication,Electromagnetics,MS,Mechanical Engineering,University of Bath,Fall-2014,8.15,10,10,Agriculture and Forestry University,103.0,22.0,,,,,42.0,4.0,0,38,5,0,0,1
UK,Manju Sah,Computer Science,Networks AI,MS,IT,Queen Mary University of London,Fall-2012,7.02,10,10,Lumbini Buddhist University,81.0,18.0,,,,45.0,38.0,5.0,1,19,4,0,0,1
UK,Ashim Bajracharya,Computer Science,Computer science,MS,Electronics and communications,University of Cambridge,Fall-2011,7.16,10,10,Lumbini Buddhist University,78.0,24.0,,,,,,,0,3,6,0,0,0
UK,Archana Baniya,Industrial Engineering,Automotive Embedded Systems,MS,Computer Science & Engineering,University of Bristol,Fall-2015,7.52,10,10,Far-Western University,71.0,22.0,,,,45.0,35.0,5.0,0,16,0,0,0,0
UK,Saroj Bohara,Electrical Engineering,BI,MS,ECE,London School of Economics,Fall-2012,7.12,10,10,Pokhara University,83.0,21.0,,,,40.0,,4.5,1,38,1,0,0,0
UK,Sushila Bista,Electrical Engineering,Computer Networks,MS,Mechanical,University of Bath,Fall-2014,6.82,10,10,Bangalore University,103.0,24.0,,,,45.0,42.0,5.0,1,38,1,0,0,0
UK,Tika Danuwar,Management Information System,Programming Languages Software Engineering,MS,Not Specified,University of Warwick,Fall-2013,6.34,10,10,Gandaki University,76.0,20.0,,,,40.0,42.0,4.5,1,53,9,1,0,0
UK,Prerana Lodhi,MIS,Machine learning,MS,EXTC,University of Leeds,Fall-2015,7.82,10,10,Purbanchal University,102.0,20.0,,,,,35.0,5.0,0,0,10,0,0,0
UK,Jyoti Thapa,Computer Science,IC Engines,MS,Computer,University of Sheffield,Fall-2012,5.52,10,10,Gandaki University,87.0,29.0,,,,40.0,42.0,5.0,0,2,1,1,0,1
