destination_country,userName,major,specialization,program,department,univName,termAndYear,cgpa,cgpaScale,topperCgpa,ugCollege,toeflScore,toeflEssay,greV,greQ,greA,gmatQ,gmatV,gmatA,researchExp,industryExp,internExp,journalPubs,confPubs,admit
USA,Sangita Rana,MIS,Operations Research,MS,Information Technology,Columbia University,Fall-2011,6.51,10,10,Nepal Open University,107.0,29.0,158.0,152.0,4.8,45.0,42.0,,0,13,9,0,0,0
USA,Dev Mehta,MIS,VLSI + DSP,MS,Computer Engineering,Purdue University,Fall-2015,7.02,10,10,Far-Western University,86.0,26.0,,,,45.0,42.0,4.5,0,41,5,0,0,0
USA,Gita Upadhyay,Electrical Engineering,Integrated Circuits,MS,Not Specified,Penn State University,Fall-2013,7.3,10,10,Lumbini Buddhist University,,,165.0,154.0,4.5,48.0,42.0,,0,23,4,0,0,0
USA,Pooja Mehta,Computer Science,Networks,MS,Electronics and Communication,Penn State University,Fall-2015,6.79,10,10,Far-Western University,88.0,26.0,,,,48.0,42.0,5.0,2,6,5,0,0,1
USA,Shankar Teli,Computer Science,Networking / DB,MS,Information Technology,NYU,Fall-2014,8.57,10,10,Nepal Open University,92.0,21.0,,,,,35.0,4.0,1,24,6,0,0,1
USA,Siddhant Belbase,Computer Science,Systems SE,MS,CSE,Harvard University,Fall-2014,6.73,10,10,Kathmandu University,87.0,25.0,152.0,164.0,4.4,45.0,42.0,,0,42,4,1,1,0
USA,Rajan Mehta,Industrial Engineering,Embedded Systems,MS,Computer,Georgia Tech,Fall-2013,9.54,10,10,Rajarshi Janak University,76.0,24.0,168.0,167.0,4.9,,,4.0,2,48,8,0,0,0
USA,Pankaj Singh,Computer Science,robotics,MS,Computer Science,Penn State University,Fall-2012,8.27,10,10,Nepal Open University,,,,,,45.0,38.0,4.0,0,21,3,0,0,0
USA,Bikash Luintel,MIS,Power systems,MS,Computer Science,University of Michigan,Fall-2014,7.84,10,10,Pokhara University,79.0,19.0,167.0,169.0,3.0,,42.0,4.0,0,28,11,0,1,0
USA,Jeevan Choudhury,Computer Science,Traditional Track,MS,EEE,Yale University,Fall-2014,7.28,10,10,Mumbai University,97.0,22.0,146.0,159.0,4.2,45.0,38.0,4.5,0,42,4,1,0,1
USA,Tika Guragain,Computer Engineering,Thermal and Fluid Sciences,MS,Computer Science,University of California Berkeley,Fall-2007,5.79,10,10,Nepal Open University,89.0,27.0,150.0,168.0,3.7,45.0,42.0,,1,7,4,0,1,1
USA,Rita Kushwaha,EE / CS,Anticancer Drugs,MS,Not Specified,University of Michigan,Fall-2014,9.62,10,10,Manmohan Technical University,110.0,20.0,,,,45.0,38.0,4.5,0,41,2,0,0,0
USA,Amit KC,Computer Science,Signal processing and communication,MS,Department of Computer Science,University of Washington,Fall-2011,6.69,10,10,Anna University,75.0,24.0,168.0,169.0,4.9,,35.0,4.0,1,57,8,0,0,1
USA,Dinesh Maskey,MIS,IS,MS,electrical,Yale University,Fall-2015,8.31,10,10,Mid-Western University,108.0,22.0,150.0,164.0,4.8,45.0,35.0,4.0,1,39,8,0,1,1
USA,Dipika Mishra,Aerospace Engineering,Electrical and computers,MS,IT,University of Chicago,Fall-2012,8.08,10,10,Mumbai University,86.0,24.0,,,,45.0,,5.0,0,8,11,1,0,0
USA,Anil Joshi,MIS,Photonics/Optoelectronics,MS,IT,University of Michigan,Fall-2013,7.36,10,10,Rajarshi Janak University,84.0,28.0,164.0,165.0,3.1,,38.0,4.0,0,25,0,1,1,0
USA,Kamal Aryal,Electrical Engineering,Networks,MS,it,University of California Berkeley,Fall-2012,5.89,10,10,Lumbini Buddhist University,,,,,,,35.0,5.0,1,11,4,0,0,1
USA,Siddhant Karki,Computer Science,General,MS,Electrical & Electronics Engineering,UCLA,Fall-2011,5.86,10,10,Far-Western University,112.0,28.0,142.0,162.0,2.8,45.0,38.0,5.0,2,42,2,1,0,0
USA,Karishma Belbase,Computer Science,databases and allied fields,MS,Petroleum Engineering,University of Chicago,Fall-2014,8.85,10,10,Jadavpur University,,,,,,45.0,35.0,,0,58,11,0,0,1
USA,Santosh Lal,Electrical Engineering,Aerodynamics,MS,IT,Texas A&M University,Fall-2012,7.99,10,10,Delhi University,94.0,26.0,142.0,150.0,4.5,45.0,,,0,24,1,1,1,0
USA,Rekha Panta,Computer Science,Structural,MS,Electronics and Communication,Georgia Tech,Fall-2011,7.69,10,10,Far-Western University,89.0,19.0,160.0,161.0,2.6,,42.0,,0,32,8,1,0,0
USA,Ishwor Bastola,Civil Engineering,Networking,MS,Mechanical,Duke University,Fall,7.55,10,10,Far-Western University,74.0,19.0,165.0,151.0,3.4,40.0,42.0,4.5,0,44,4,0,0,0
USA,Shubham Sharma,Electrical Engineering,Manufacturing Systems,MS,Mechanical Engineering,Penn State University,Fall-2011,8.86,10,10,Far-Western University,70.0,20.0,145.0,153.0,3.2,45.0,42.0,4.0,1,14,2,0,0,1
USA,Suman Dhungana,Electronics and Communication,Machine Learning,MS,Computer,Duke University,Fall-2013,6.01,10,10,Pokhara University,76.0,22.0,,,,40.0,42.0,4.5,0,6,1,0,1,0
USA,Niraj Baral,Computer Science,Networks,MS,Mechanical,University of California Berkeley,Fall-2012,9.26,10,10,Kathmandu University,112.0,27.0,167.0,156.0,4.5,48.0,35.0,4.5,1,58,2,0,0,0
USA,Ishwor Rijal,Computer Science,DBMS,MS,Computer Engineering,Stanford University,Spring-2013,9.26,10,10,Mumbai University,93.0,25.0,145.0,151.0,4.9,40.0,38.0,4.0,1,56,6,1,1,1
USA,Sita Aryal,Telecommunication,Design,MS,Computer,Texas A&M University,Fall-2011,6.02,10,10,Pokhara University,112.0,19.0,,,,48.0,42.0,5.0,0,10,4,0,1,1
USA,Maya Teli,Electrical Engineering,Embedded Systems,MS,ECE,NYU,Fall-2015,9.97,10,10,Lumbini Buddhist University,95.0,20.0,155.0,164.0,3.0,40.0,,5.0,1,49,1,0,0,0
USA,Anju Dhungana,Computer Engineering,Embedded Systems,MS,Not Specified,NYU,Fall-2013,8.15,10,10,Gandaki University,86.0,20.0,148.0,154.0,4.8,,35.0,4.5,1,6,2,0,2,0
